Meter S/N:," ""0479F14R""",,,,,,,
Sensor, THERMO,,,,,,,
Date, 7/1/2014 4:01:24 PM,,,,,,,
Units, W,,,,,,,
Timestamp, Measurement, Flags (interpreted),,,,,,
0.000568,0.230281875,0,,,,,,
0.0005696,0.242321789,0,,,,,,
0.0005712,0.247515485,0,,,,,,
0.0005728,0.241141409,0,,,,,,
0.0005744,0.243266106,0,,,,,,
0.000576,0.237128109,0,,,,,,
0.0005776,0.24090533,0,,,,,,
0.0005792,0.241377488,0,,,,,,
0.0005808,0.235003412,0,,,,,,
0.0005824,0.245626867,0,,,,,,
0.000584,0.235003412,0,,,,,,
0.0005856,0.241849646,0,,,,,,
0.0005872,0.228865415,0,,,,,,
0.0005888,0.241613567,0,,,,,,
0.0005904,0.222963497,0,,,,,,
0.000592,0.228393257,0,,,,,,
0.0005936,0.23948887,0,,,,,,
0.0005952,0.228865415,0,,,,,,
0.0005968,0.226504654,0,,,,,,
0.0005984,0.220602736,0,,,,,,
0.0006,0.224616036,0,,,,,,
0.0006016,0.202896968,0,,,,,,
0.0006032,0.199119732,0,,,,,,
0.0006048,0.211631805,0,,,,,,
0.0006064,0.203841269,0,,,,,,
0.000608,0.218714118,0,,,,,,
0.0006096,0.2128122,0,,,,,,
0.0006112,0.208326727,0,,,,,,
0.0006128,0.209507123,0,,,,,,
0.0006144,0.214936882,0,,,,,,
0.000616,0.227685034,0,,,,,,
0.0006176,0.204077348,0,,,,,,
0.0006192,0.209979266,0,,,,,,
0.0006208,0.215881199,0,,,,,,
0.0006224,0.220130578,0,,,,,,
0.000624,0.221074879,0,,,,,,
0.0006256,0.208326727,0,,,,,,
0.0006272,0.210923582,0,,,,,,
0.0006288,0.223199576,0,,,,,,
0.0006304,0.214700803,0,,,,,,
0.000632,0.206910267,0,,,,,,
0.0006336,0.205021665,0,,,,,,
0.0006352,0.213992581,0,,,,,,
0.0006368,0.216589421,0,,,,,,
0.0006384,0.209507123,0,,,,,,
0.00064,0.196050733,0,,,,,,
