Meter S/N: Not_Serialized,,,
Sensor S/N: x1
SUN JUN  9 16:47:37 2013,,,
Measurement,QuadDistanceX(mm),QuadDistanceY(mm),PulsePeriod(usec)
+9.6464492E-02, +4.2, -1.2,         0
+1.1854235E-01, +3.3, -2.8,         0
+1.3926528E-01, +3.7, -4.0,         0
+1.2626377E-01, +3.8, -5.7,         0
+1.4441341E-01, +2.0, -6.1,         0
+1.4461704E-01, +2.2, -6.8,         0
+1.4088054E-01, +1.8, -6.7,         0
+1.1558457E-01, +1.6, -7.0,         0
+1.1831626E-01, +0.6, -6.3,         0
+8.6837806E-02, +0.3, -6.2,         0
+8.6331300E-02, +2.0, -5.3,         0
+7.8337200E-02, +2.7, -4.6,         0
+8.7347597E-02, +3.7, -3.5,         0
+1.0935228E-01, +4.4, -2.6,         0
+1.2749738E-01, +5.7, -1.5,         0
+1.3897036E-01, +6.0, -1.0,         0
+1.2775163E-01, +6.0, -1.0,         0
+1.1118380E-01, +6.3, -0.6,         0
+1.0622554E-01, +5.9, -0.8,         0
+1.1016984E-01, +5.4, -0.2,         0
+1.1953474E-01, +4.3, +0.7,         0
+1.0727315E-01, +2.7, +1.6,         0
+1.3933241E-01, +3.1, +1.9,         0
+1.2680434E-01, +1.9, +2.7,         0
+1.4442171E-01, +1.5, +2.7,         0
+1.3309273E-01, +1.2, +2.6,         0
+1.4519405E-01, +1.2, +2.5,         0
+1.5516293E-01, +1.6, +2.7,         0
+1.3517992E-01, +1.6, +2.2,         0
+1.3900696E-01, +1.5, +2.0,         0
+1.5313391E-01, +1.5, +2.3,         0
+1.4536582E-01, +1.3, +2.3,         0
+1.6522372E-01, +1.4, +2.4,         0
+1.4971256E-01, +1.8, +1.8,         0
+1.4947589E-01, +1.5, +1.8,         0
+1.6329971E-01, +2.0, +1.9,         0
+1.5262139E-01, +2.0, +2.3,         0
+1.4528167E-01, +1.4, +2.0,         0
+1.5834653E-01, +2.2, +2.0,         0
+1.4590746E-01, +1.8, +2.1,         0
+1.5598698E-01, +1.7, +1.8,         0
+1.6005459E-01, +1.6, +1.4,         0
+1.4699183E-01, +1.6, +1.3,         0
+1.6250069E-01, +1.6, +0.7,         0
+1.6151457E-01, +1.5, +1.2,         0
+1.5591663E-01, +1.2, +0.1,         0
+1.6530865E-01, +1.7, +0.5,         0
+1.6008995E-01, +1.1, -0.3,         0
+1.5037921E-01, +1.0, -0.1,         0
+1.3565598E-01, +0.6, -0.2,         0
+1.5458702E-01, +0.7, -0.3,         0
+1.4500278E-01, +0.5, +0.1,         0
+1.3015187E-01, +0.7, -0.3,         0
+1.4239046E-01, +0.4, +0.8,         0
+1.5385497E-01, +1.0, +0.8,         0
+1.5694383E-01, +1.7, +0.5,         0
+1.4836566E-01, +1.6, +0.6,         0
+1.4804229E-01, +2.0, +0.4,         0
+1.7327727E-01, +2.0, +0.9,         0
+1.5622026E-01, +2.2, +1.1,         0
+1.5148470E-01, +1.9, +0.7,         0
+1.5712482E-01, +2.4, +0.8,         0
+1.6823259E-01, +2.3, +1.2,         0
+1.6512600E-01, +2.4, +0.8,         0
+1.4983547E-01, +2.4, +1.0,         0
+1.6647740E-01, +2.0, +1.1,         0
+1.6533461E-01, +2.1, +0.6,         0
+1.6960458E-01, +2.2, +1.0,         0
+1.6684704E-01, +2.3, +0.7,         0
+1.5519507E-01, +2.2, +0.5,         0
+1.5276952E-01, +2.4, +1.0,         0
+1.6436596E-01, +2.8, +0.6,         0
+1.5742894E-01, +2.3, +1.0,         0
+1.5987113E-01, +2.3, +1.1,         0
+1.6165517E-01, +2.0, +1.2,         0
+1.5176436E-01, +1.2, +2.2,         0
+1.5771103E-01, +1.2, +1.9,         0
