Meter S/N:, "REV_DA_16"
Sensor, Thermo, Quad, 1A365, LM-3 QHTD HD
Date, 11/20/2014 1:59:51 PM
Units, W
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period
7.6, 0.228098660707474, 4.54828548431396, -0.848649203777313, 7600010, 0, 0, 0
7.7, 0.206640109419823, 3.90451502799988, -0.59443336725235, 7700010, 0, 0, 0
7.8, 0.184354588389397, 3.24234747886658, -0.429791539907455, 7800010, 0, 0, 0
7.9, 0.163474291563034, 2.78170347213745, -0.277817070484161, 7900010, 0, 0, 0
8, 0.144582539796829, 2.39190626144409, -0.0392382368445396, 8000010, 0, 0, 0
8.1, 0.126699656248093, 2.11379671096802, 0.111687563359737, 8100010, 0, 0, 0
8.2, 0.112018324434757, 1.90473830699921, 0.358462482690811, 8200010, 0, 0, 0
8.3, 0.0979727432131767, 1.60885000228882, 0.514064013957977, 8300010, 0, 0, 0
8.4, 0.0854506641626358, 1.58927464485168, 0.759283542633057, 8400010, 0, 0, 0
8.5, 0.0746355801820755, 1.5579754114151, 1.05690026283264, 8500010, 0, 0, 0
8.6, 0.0644575953483582, 1.54548346996307, 1.36930072307587, 8600020, 0, 0, 0
8.7, 0.0559136867523193, 1.42572808265686, 1.62454962730408, 8700010, 0, 0, 0
8.8, 0.0471160486340523, 1.54197990894318, 2.11277866363525, 8800010, 0, 0, 0
8.9, 0.0404163189232349, 1.60263347625732, 2.59651279449463, 8900010, 0, 0, 0
9, 0.0333845317363739, 1.72952342033386, 3.29166483879089, 9000010, 0, 0, 0
9.1, 0.0273597277700901, 1.82785725593567, 4.1014084815979, 9100010, 0, 0, 0
9.2, 0.0220155585557222, 2.12733507156372, 5.35094547271729, 9200010, 0, 0, 0
9.3, 0.0171267334371805, 2.6819052696228, 6.92829465866089, 9300010, 0, 0, 0
9.4, 0.0137723088264465, 0, 0, 9400000, 0, 0, 0
9.5, 0.0110952397808433, 0, 0, 9500000, 0, 0, 0
9.6, 0.0262579526752234, 0, 0, 9600000, 0, 0, 0
