
0	Header	[1]	00  .
5190	Data	[38]	35 2e 32 39 37 35 35 65 2d 30 32 2c 2d 31 2e 38 35 65 2b 30 30 2c 2d 33 2e 36 34 65 2b 30 30 2c 30 2c 35 31 30 30  5.29755e-02,-1.85e+00,-3.64e+00,0,5100
5289	Data	[38]	35 2e 33 39 36 31 32 65 2d 30 32 2c 2d 31 2e 38 35 65 2b 30 30 2c 2d 33 2e 35 35 65 2b 30 30 2c 30 2c 35 32 30 30  5.39612e-02,-1.85e+00,-3.55e+00,0,5200
5390	Data	[38]	35 2e 34 35 31 34 37 65 2d 30 32 2c 2d 32 2e 30 39 65 2b 30 30 2c 2d 33 2e 36 32 65 2b 30 30 2c 30 2c 35 33 30 30  5.45147e-02,-2.09e+00,-3.62e+00,0,5300
5490	Data	[38]	35 2e 36 36 38 37 37 65 2d 30 32 2c 2d 32 2e 37 39 65 2b 30 30 2c 2d 33 2e 34 36 65 2b 30 30 2c 30 2c 35 34 30 30  5.66877e-02,-2.79e+00,-3.46e+00,0,5400
5590	Data	[38]	35 2e 39 38 38 37 30 65 2d 30 32 2c 2d 33 2e 35 37 65 2b 30 30 2c 2d 33 2e 32 33 65 2b 30 30 2c 30 2c 35 35 30 30  5.98870e-02,-3.57e+00,-3.23e+00,0,5500
5690	Data	[38]	36 2e 34 38 34 33 32 65 2d 30 32 2c 2d 34 2e 37 36 65 2b 30 30 2c 2d 32 2e 39 38 65 2b 30 30 2c 30 2c 35 36 30 30  6.48432e-02,-4.76e+00,-2.98e+00,0,5600
5789	Data	[38]	36 2e 39 31 38 33 32 65 2d 30 32 2c 2d 35 2e 38 33 65 2b 30 30 2c 2d 32 2e 38 38 65 2b 30 30 2c 30 2c 35 37 30 30  6.91832e-02,-5.83e+00,-2.88e+00,0,5700
5889	Data	[38]	36 2e 39 31 33 31 36 65 2d 30 32 2c 2d 36 2e 31 31 65 2b 30 30 2c 2d 33 2e 30 38 65 2b 30 30 2c 30 2c 35 38 30 30  6.91316e-02,-6.11e+00,-3.08e+00,0,5800
5989	Data	[38]	36 2e 37 35 34 31 39 65 2d 30 32 2c 2d 35 2e 38 38 65 2b 30 30 2c 2d 33 2e 33 34 65 2b 30 30 2c 30 2c 35 39 30 30  6.75419e-02,-5.88e+00,-3.34e+00,0,5900
6089	Data	[38]	36 2e 35 34 35 31 35 65 2d 30 32 2c 2d 35 2e 37 31 65 2b 30 30 2c 2d 33 2e 35 35 65 2b 30 30 2c 30 2c 36 30 30 30  6.54515e-02,-5.71e+00,-3.55e+00,0,6000
