Meter S/N:,
Sensor,
Date, 12/11/2015 4:20:37 PM
Units, W
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
0.0078336, 1.10353708267212, 0, 32, UnderRange, 0, 83268e3e 2000
0.0078848, 1.66339218616486, 0, 32, UnderRange, 0, 83268e3e 2000
0.0079360, 2.34974479675293, 0, 32, UnderRange, 0, 83268e3e 2000
0.0079872, 3.17122721672058, 0, 32, UnderRange, 0, 83268e3e 2000
0.0080384, 4.07443141937256, 0, 32, UnderRange, 0, 83268e3e 2000
0.0080896, 5.04475116729736, 0, 32, UnderRange, 0, 83268e3e 2000
0.0081408, 6.01100492477417, 0, 32, UnderRange, 0, 83268e3e 2000
0.0081920, 6.90042400360107, 0, 32, UnderRange, 0, 83268e3e 2000
0.0082432, 7.90091323852539, 0, 33, TriggerDetected| UnderRange, 0, 83268e3e 2000
0.0082944, 8.87568855285645, 0, 32, UnderRange, 0, 83268e3e 2000
0.0083456, 9.75986289978027, 0, 32, UnderRange, 0, 83268e3e 2000
0.0083968, 10.5907392501831, 0, 32, UnderRange, 0, 83268e3e 2000
0.0084480, 11.3149108886719, 0, 32, UnderRange, 0, 83268e3e 2000
0.0084992, 11.899489402771, 0, 32, UnderRange, 0, 83268e3e 2000
0.0085504, 12.3540191650391, 0, 32, UnderRange, 0, 83268e3e 2000
0.0086016, 12.6560125350952, 0, 32, UnderRange, 0, 83268e3e 2000
0.0086528, 12.8143224716187, 0, 32, UnderRange, 0, 83268e3e 2000
0.0087040, 12.7992010116577, 0, 32, UnderRange, 0, 83268e3e 2000
0.0087552, 12.5994319915771, 0, 32, UnderRange, 0, 83268e3e 2000
0.0088064, 12.2736015319824, 0, 32, UnderRange, 0, 83268e3e 2000
0.0088576, 11.7989273071289, 0, 32, UnderRange, 0, 83268e3e 2000
0.0089088, 11.1837549209595, 0, 32, UnderRange, 0, 83268e3e 2000
0.0089600, 10.4285154342651, 0, 32, UnderRange, 0, 83268e3e 2000
0.0090112, 9.59350776672363, 0, 32, UnderRange, 0, 83268e3e 2000
0.0090624, 8.68761348724365, 0, 32, UnderRange, 0, 83268e3e 2000
0.0091136, 7.70588636398315, 0, 32, UnderRange, 0, 83268e3e 2000
0.0091648, 6.69934463500977, 0, 32, UnderRange, 0, 83268e3e 2000
0.0092160, 5.68957805633545, 0, 32, UnderRange, 0, 83268e3e 2000
0.0092672, 4.71379947662354, 0, 32, UnderRange, 0, 83268e3e 2000
0.0093184, 3.7643141746521, 0, 32, UnderRange, 0, 83268e3e 2000
0.0093696, 2.87368392944336, 0, 32, UnderRange, 0, 83268e3e 2000
0.0094208, 2.10938167572021, 0, 32, UnderRange, 0, 83268e3e 2000
0.0094720, 1.46841096878052, 0, 32, UnderRange, 0, 83268e3e 2000
0.0095232, 0.930165529251099, 0, 32, UnderRange, 0, 83268e3e 2000
0.0095744, 0.532066226005554, 0, 32, UnderRange, 0, 83268e3e 2000
0.0096256, 0.322954446077347, 0, 32, UnderRange, 0, 83268e3e 2000
0.0096768, 0.26594352722168, 0, 32, UnderRange, 0, 83268e3e 2000
0.0097280, 0.296321988105774, 0, 32, UnderRange, 0, 83268e3e 2000
0.0097792, 0.569545745849609, 0, 32, UnderRange, 0, 83268e3e 2000
0.0098304, 1.00068163871765, 0, 32, UnderRange, 0, 83268e3e 2000
0.0098816, 1.54204761981964, 0, 32, UnderRange, 0, 83268e3e 2000
0.0099328, 2.20399594306946, 0, 32, UnderRange, 0, 83268e3e 2000
0.0099840, 2.99168610572815, 0, 32, UnderRange, 0, 83268e3e 2000
0.0100352, 3.89199113845825, 0, 32, UnderRange, 0, 83268e3e 2000
0.0100864, 4.84248638153076, 0, 32, UnderRange, 0, 83268e3e 2000
0.0101376, 5.82687759399414, 0, 32, UnderRange, 0, 83268e3e 2000
0.0101888, 6.71241998672485, 0, 32, UnderRange, 0, 83268e3e 2000
0.0102400, 7.7069354057312, 0, 33, TriggerDetected| UnderRange, 0, 83268e3e 2000
0.0102912, 8.68678569793701, 0, 32, UnderRange, 0, 83268e3e 2000
0.0103424, 9.59519481658936, 0, 32, UnderRange, 0, 83268e3e 2000
0.0103936, 10.4332904815674, 0, 32, UnderRange, 0, 83268e3e 2000
0.0104448, 11.1832866668701, 0, 32, UnderRange, 0, 83268e3e 2000
0.0104960, 11.7988681793213, 0, 32, UnderRange, 0, 83268e3e 2000
0.0105472, 12.2774906158447, 0, 32, UnderRange, 0, 83268e3e 2000
0.0105984, 12.5996732711792, 0, 32, UnderRange, 0, 83268e3e 2000
0.0106496, 12.7983798980713, 0, 32, UnderRange, 0, 83268e3e 2000
0.0107008, 12.8130321502686, 0, 32, UnderRange, 0, 83268e3e 2000
0.0107520, 12.65700340271, 0, 32, UnderRange, 0, 83268e3e 2000
0.0108032, 12.3488206863403, 0, 32, UnderRange, 0, 83268e3e 2000
0.0108544, 11.8986949920654, 0, 32, UnderRange, 0, 83268e3e 2000
0.0109056, 11.31516456604, 0, 32, UnderRange, 0, 83268e3e 2000
0.0109568, 10.589319229126, 0, 32, UnderRange, 0, 83268e3e 2000
0.0110080, 9.75920486450195, 0, 32, UnderRange, 0, 83268e3e 2000
0.0110592, 8.87589645385742, 0, 32, UnderRange, 0, 83268e3e 2000
0.0111104, 7.90187740325928, 0, 32, UnderRange, 0, 83268e3e 2000
0.0111616, 6.90495157241821, 0, 32, UnderRange, 0, 83268e3e 2000
0.0112128, 5.89047479629517, 0, 32, UnderRange, 0, 83268e3e 2000
0.0112640, 4.90726900100708, 0, 32, UnderRange, 0, 83268e3e 2000
0.0113152, 3.95158195495605, 0, 32, UnderRange, 0, 83268e3e 2000
0.0113664, 3.04718565940857, 0, 32, UnderRange, 0, 83268e3e 2000
0.0114176, 2.25813388824463, 0, 32, UnderRange, 0, 83268e3e 2000
0.0114688, 1.58220481872559, 0, 32, UnderRange, 0, 83268e3e 2000
0.0115200, 1.03460419178009, 0, 32, UnderRange, 0, 83268e3e 2000
0.0115712, 0.603233754634857, 0, 32, UnderRange, 0, 83268e3e 2000
0.0116224, 0.355157077312469, 0, 32, UnderRange, 0, 83268e3e 2000
0.0116736, 0.276692897081375, 0, 32, UnderRange, 0, 83268e3e 2000
0.0117248, 0.277618020772934, 0, 32, UnderRange, 0, 83268e3e 2000
0.0117760, 0.502085149288177, 0, 32, UnderRange, 0, 83268e3e 2000
0.0118272, 0.903461396694183, 0, 32, UnderRange, 0, 83268e3e 2000
0.0118784, 1.43135488033295, 0, 32, UnderRange, 0, 83268e3e 2000
0.0119296, 2.05900263786316, 0, 32, UnderRange, 0, 83268e3e 2000
0.0119808, 2.8267970085144, 0, 32, UnderRange, 0, 83268e3e 2000
0.0120320, 3.707270860672, 0, 32, UnderRange, 0, 83268e3e 2000
0.0120832, 4.65119886398315, 0, 32, UnderRange, 0, 83268e3e 2000
0.0121344, 5.62592220306396, 0, 32, UnderRange, 0, 83268e3e 2000
0.0121856, 6.53825998306274, 0, 32, UnderRange, 0, 83268e3e 2000
0.0122368, 7.50128269195557, 0, 32, UnderRange, 0, 83268e3e 2000
0.0122880, 8.49601364135742, 0, 33, TriggerDetected| UnderRange, 0, 83268e3e 2000
0.0123392, 9.41762161254883, 0, 32, UnderRange, 0, 83268e3e 2000
0.0123904, 10.2611236572266, 0, 32, UnderRange, 0, 83268e3e 2000
0.0124416, 11.0388526916504, 0, 32, UnderRange, 0, 83268e3e 2000
0.0124928, 11.6761884689331, 0, 32, UnderRange, 0, 83268e3e 2000
0.0125440, 12.1906814575195, 0, 32, UnderRange, 0, 83268e3e 2000
0.0125952, 12.5484342575073, 0, 32, UnderRange, 0, 83268e3e 2000
0.0126464, 12.77232837677, 0, 32, UnderRange, 0, 83268e3e 2000
0.0126976, 12.8193454742432, 0, 32, UnderRange, 0, 83268e3e 2000
0.0127488, 12.6923980712891, 0, 32, UnderRange, 0, 83268e3e 2000
0.0128000, 12.4291086196899, 0, 32, UnderRange, 0, 83268e3e 2000
0.0128512, 11.9975433349609, 0, 32, UnderRange, 0, 83268e3e 2000
0.0129024, 11.4432592391968, 0, 32, UnderRange, 0, 83268e3e 2000
0.0129536, 10.7453165054321, 0, 32, UnderRange, 0, 83268e3e 2000
0.0130048, 9.92632865905762, 0, 32, UnderRange, 0, 83268e3e 2000
0.0130560, 9.06328868865967, 0, 32, UnderRange, 0, 83268e3e 2000
0.0131072, 8.10472202301025, 0, 32, UnderRange, 0, 83268e3e 2000
0.0131584, 7.10424566268921, 0, 32, UnderRange, 0, 83268e3e 2000
0.0132096, 6.08511066436768, 0, 32, UnderRange, 0, 83268e3e 2000
0.0132608, 5.0984845161438, 0, 32, UnderRange, 0, 83268e3e 2000
0.0133120, 4.13497352600098, 0, 32, UnderRange, 0, 83268e3e 2000
0.0133632, 3.22782135009766, 0, 32, UnderRange, 0, 83268e3e 2000
0.0134144, 2.40189552307129, 0, 32, UnderRange, 0, 83268e3e 2000
0.0134656, 1.70226585865021, 0, 32, UnderRange, 0, 83268e3e 2000
0.0135168, 1.13474297523499, 0, 32, UnderRange, 0, 83268e3e 2000
0.0135680, 0.677365601062775, 0, 32, UnderRange, 0, 83268e3e 2000
0.0136192, 0.38435634970665, 0, 32, UnderRange, 0, 83268e3e 2000
0.0136704, 0.279585480690002, 0, 32, UnderRange, 0, 83268e3e 2000
0.0137216, 0.275591939687729, 0, 32, UnderRange, 0, 83268e3e 2000
0.0137728, 0.437927454710007, 0, 32, UnderRange, 0, 83268e3e 2000
0.0138240, 0.809785187244415, 0, 32, UnderRange, 0, 83268e3e 2000
0.0138752, 1.3188704252243, 0, 32, UnderRange, 0, 83268e3e 2000
0.0139264, 1.9134624004364, 0, 32, UnderRange, 0, 83268e3e 2000
0.0139776, 2.66339302062988, 0, 32, UnderRange, 0, 83268e3e 2000
0.0140288, 3.52706503868103, 0, 32, UnderRange, 0, 83268e3e 2000
0.0140800, 4.4520092010498, 0, 32, UnderRange, 0, 83268e3e 2000
0.0141312, 5.42954683303833, 0, 32, UnderRange, 0, 83268e3e 2000
0.0141824, 6.3523998260498, 0, 32, UnderRange, 0, 83268e3e 2000
0.0142336, 7.30477714538574, 0, 32, UnderRange, 0, 83268e3e 2000
0.0142848, 8.30384635925293, 0, 33, TriggerDetected| UnderRange, 0, 83268e3e 2000
0.0143360, 9.2410831451416, 0, 32, UnderRange, 0, 83268e3e 2000
0.0143872, 10.0934858322144, 0, 32, UnderRange, 0, 83268e3e 2000
0.0144384, 10.8933191299438, 0, 32, UnderRange, 0, 83268e3e 2000
0.0144896, 11.5633516311646, 0, 32, UnderRange, 0, 83268e3e 2000
0.0145408, 12.1001710891724, 0, 32, UnderRange, 0, 83268e3e 2000
0.0145920, 12.4907455444336, 0, 32, UnderRange, 0, 83268e3e 2000
0.0146432, 12.738561630249, 0, 32, UnderRange, 0, 83268e3e 2000
0.0146944, 12.8229150772095, 0, 32, UnderRange, 0, 83268e3e 2000
0.0147456, 12.7400016784668, 0, 32, UnderRange, 0, 83268e3e 2000
0.0147968, 12.4904069900513, 0, 32, UnderRange, 0, 83268e3e 2000
0.0148480, 12.0970630645752, 0, 32, UnderRange, 0, 83268e3e 2000
0.0148992, 11.5649356842041, 0, 32, UnderRange, 0, 83268e3e 2000
0.0149504, 10.8953323364258, 0, 32, UnderRange, 0, 83268e3e 2000
0.0150016, 10.0940647125244, 0, 32, UnderRange, 0, 83268e3e 2000
0.0150528, 9.238112449646, 0, 32, UnderRange, 0, 83268e3e 2000
0.0151040, 8.30598926544189, 0, 32, UnderRange, 0, 83268e3e 2000
0.0151552, 7.2986536026001, 0, 32, UnderRange, 0, 83268e3e 2000
0.0152064, 6.29027462005615, 0, 32, UnderRange, 0, 83268e3e 2000
0.0152576, 5.29761600494385, 0, 32, UnderRange, 0, 83268e3e 2000
0.0153088, 4.32104253768921, 0, 32, UnderRange, 0, 83268e3e 2000
0.0153600, 3.40615701675415, 0, 32, UnderRange, 0, 83268e3e 2000
0.0154112, 2.56028318405151, 0, 32, UnderRange, 0, 83268e3e 2000
