Meter S/N:, "REV_DA_11"
Sensor, THERMO,QUAD, 1A361
Date, 10/21/2014 1:56:12 PM
Units, W
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period
22.6, 0.0921274125576019, 0.824290335178375, 1.90563702583313, 22600000, 0, 0, 0
22.7, 0.0922823026776314, 0.814478874206543, 1.89482736587524, 22700000, 0, 0, 0
22.8, 0.0919028297066689, 0.771519243717194, 1.87837696075439, 22800000, 0, 0, 0
22.9, 0.0921248197555542, 0.802084028720856, 1.93169188499451, 22900000, 0, 0, 0
23, 0.0921031907200813, 0.784975111484528, 1.94736087322235, 23000000, 0, 0, 0
23.1, 0.0921873822808266, 0.850619494915009, 1.89171576499939, 23100000, 0, 0, 0
23.2, 0.0924527645111084, 0.84542179107666, 1.92821753025055, 23200000, 0, 0, 0
23.3, 0.0919383838772774, 0.831058859825134, 1.89717400074005, 23300000, 0, 0, 0
23.4, 0.0917279720306396, 0.849805116653442, 1.93175399303436, 23400000, 0, 0, 0
23.5, 0.0918762683868408, 0.82373183965683, 1.87088704109192, 23500000, 0, 0, 0
23.6, 0.0922148823738098, 0.798548460006714, 1.92362368106842, 23600000, 0, 0, 0
23.7, 0.0918894708156586, 0.819181621074677, 1.94898867607117, 23700000, 0, 0, 0
23.8, 0.0921935588121414, 0.896992087364197, 1.8954484462738, 23800000, 0, 0, 0
23.9, 0.0925193279981613, 0.918323516845703, 1.79718458652496, 23900000, 0, 0, 0
24, 0.091982901096344, 0.842094957828522, 1.80156850814819, 24000000, 0, 0, 0
24.1, 0.0922338888049126, 0.93688178062439, 1.83315622806549, 24100000, 0, 0, 0
24.2, 0.0918957740068436, 0.930763840675354, 1.81967401504517, 24200000, 0, 0, 0
24.3, 0.0914762243628502, 0.908704280853271, 1.77645659446716, 24300000, 0, 0, 0
24.4, 0.0916465520858765, 0.993528306484222, 1.83635210990906, 24400000, 0, 0, 0
24.5, 0.0917623415589333, 0.982089221477509, 1.76697313785553, 24500000, 0, 0, 0
24.6, 0.0923553928732872, 0.94142872095108, 1.68623280525208, 24600000, 0, 0, 0
24.7, 0.0920501723885536, 1.01582396030426, 1.67263007164001, 24700000, 0, 0, 0
