Meter S/N:," ""serial number""",,,,
Sensor, THERMO,SINGLE, 150W-HD,,
Date, 2/14/2014 11:57:03 AM,,,,
Timestamp, Measurement, Sequence, Flags, Flags (interpreted),
0.196723,0.016254727,2625020,0,0,7.84555E-08
0.19673,0.006161126,2625030,0,0,2.38713E-08
0.196736,0.001795966,2625030,0,0,3.43024E-08
0.196742,0.009638157,2625040,0,0,6.11725E-08
0.196749,0.007839693,2625050,0,0,3.30634E-08
0.196755,0.003181449,2625050,0,0,3.79834E-08
0.196762,0.007670948,2625060,0,0,6.23451E-08
0.196768,0.013110746,2625070,0,0,5.15543E-08
0.196774,0.00407402,2625070,0,0,5.01685E-08
0.196781,0.010259848,2625080,0,0,5.26467E-08
0.196787,0.007289052,2625090,0,0,1.82602E-08
0.196794,-0.002071841,2625090,32, NegativePower,1.07891E-08
0.1968,0.005668214,2625100,0,0,4.34679E-08
0.196806,0.008821077,2625100,0,0,7.28758E-08
0.196813,0.012000583,2625110,0,0,6.09596E-08
0.196819,0.008319283,2625120,0,0,5.45048E-08
0.196826,0.007253527,2625120,0,0,6.60219E-08
0.196832,0.014753787,2625130,0,0,6.0853E-08
0.196838,0.005530554,2625140,0,0,1.16703E-08
0.196845,-0.00219618,2625140,32, NegativePower,2.36714E-08
0.196851,0.010086662,2625150,0,0,6.24003E-08
0.196858,0.007741998,2625160,0,0,2.83208E-08
0.196864,0.001698272,2625160,0,0,3.91249E-08
0.19687,0.011343366,2625170,0,0,8.5061E-08
0.196877,0.012959764,2625170,0,0,5.71762E-08
0.196883,0.006098957,2625180,0,0,3.07251E-08
0.19689,0.002679656,2625190,0,0,1.51987E-08
0.196896,0.002386573,2625190,0,0,1.55983E-08
0.196902,0.002812875,2625200,0,0,2.90777E-08
0.196909,0.005495029,2625210,0,0,3.66337E-08
0.196915,0.006716208,2625210,0,0,5.90276E-08
0.196922,0.010148832,2625220,0,0,5.3486E-08
0.196928,0.007679829,2625230,0,0,2.43375E-08
0.196934,0.000432686,2625230,0,0,1.99233E-08
0.196941,0.005259674,2625240,0,0,3.68335E-08
0.196947,0.007018172,2625250,0,0,5.72403E-08
0.196954,0.009336192,2625250,0,0,5.47516E-08
0.19696,0.00891433,2625260,0,0,3.87652E-08
0.196966,0.00400741,2625260,0,0,3.80592E-09
0.196973,-0.002920006,2625270,32, NegativePower,2.51369E-08
0.196979,0.01129896,2625280,0,0,5.91209E-08
0.196986,0.005592723,2625280,0,0,4.34945E-08
0.196992,0.008905449,2625290,0,0,4.94095E-08
0.196998,0.007564372,2625300,0,0,3.69887E-08
0.197005,0.003003823,2625300,0,0,4.42405E-08
0.197011,0.011743026,2625310,0,0,7.88285E-08
0.197018,0.010779404,2625320,0,0,3.10118E-08
0.197024,-0.000442122,2625320,32, NegativePower,9.04394E-09
0.19703,0.00345677,2625330,0,0,2.90155E-08
0.197037,0.004833372,2625330,0,0,3.16513E-08
0.197043,0.005717061,2625340,0,0,5.1272E-08
0.19705,0.008932093,2625350,0,0,4.77975E-08
0.197056,0.00700041,2625350,0,0,1.41995E-08
0.197062,-0.00226723,2625360,32, NegativePower,-2.0067E-08
0.197069,-0.003466206,2625370,32, NegativePower,-1.35368E-08
0.197075,-0.001046051,2625370,32, NegativePower,5.56219E-09
0.197082,0.002635249,2625380,0,0,4.14163E-08
0.197088,0.011170181,2625390,0,0,5.45651E-08
0.197094,0.007018172,2625390,0,0,3.49837E-08
0.197101,0.002977179,2625400,0,0,4.00824E-09
0.197107,-0.001641098,2625410,32, NegativePower,1.33489E-08
0.197114,0.005455063,2625410,0,0,5.94276E-08
0.19712,0.014354128,2625420,0,0,8.35137E-08
0.197126,0.013483761,2625420,0,0,6.42343E-08
0.197133,0.004868897,2625430,0,0,3.17712E-08
0.197139,0.005721502,2625440,0,0,3.54811E-08
0.197146,0.00441595,2625440,0,0,3.36363E-08
0.197152,0.00679614,2625450,0,0,3.17179E-08
0.197158,0.003776497,2625460,0,0,1.51829E-08
0.197165,0.000561465,2625460,0,0,1.368E-08
0.197171,0.003998529,2625470,0,0,4.69047E-08
0.197178,0.009402802,2625480,0,0,6.58621E-08
0.197184,0.012551224,2625480,0,0,7.86911E-08
0.19719,0.01367915,2625490,0,0,6.09704E-08
0.197197,0.003740971,2625500,0,0,3.74863E-08
0.197203,0.008754467,2625500,0,0,4.67959E-08
0.19721,0.00461578,2625510,0,0,4.11632E-08
0.197216,0.009105278,2625510,0,0,4.75177E-08
0.197222,0.006733971,2625520,0,0,2.43217E-08
0.197229,0.000215094,2625530,0,0,2.59095E-08
0.197235,0.008421418,2625530,0,0,4.58789E-08
0.197242,0.00468683,2625540,0,0,5.25002E-08
0.197248,0.012813223,2625550,0,0,4.99157E-08
0.197254,0.003825344,2625550,0,0,3.24037E-08
0.197261,0.00543286,2625560,0,0,3.80858E-08
0.197267,0.007262408,2625570,0,0,5.53907E-08
0.197274,0.008563519,2625570,0,0,4.43871E-08
0.19728,0.006232177,2625580,0,0,1.18016E-08
0.197286,-0.002298315,2625580,32, NegativePower,2.93574E-08
0.197293,0.010686151,2625590,0,0,4.86901E-08
0.197299,0.005543876,2625600,0,0,3.24037E-08
0.197306,0.003714327,2625600,0,0,2.31386E-08
0.197312,0.003998529,2625610,0,0,2.65357E-08
0.197318,0.004846693,2625620,0,0,5.10234E-08
0.197325,0.00973141,2625620,0,0,4.50132E-08
0.197331,0.005272996,2625630,0,0,2.88912E-08
0.197338,0.00298162,2625640,0,0,3.8259E-08
0.197344,0.009771376,2625640,0,0,2.52701E-08
0.19735,-0.001348015,2625650,32, NegativePower,2.71193E-08
0.197357,0.009096397,2625650,0,0,6.76605E-08
0.197363,0.013457117,2625660,0,0,8.92107E-08
0.19737,0.012031668,2625670,0,0,7.22833E-08
0.197376,0.012062753,2625670,0,0,5.85616E-08
0.197382,0.007457796,2625680,0,0,6.51047E-08
0.197389,0.011143537,2625690,0,0,5.38057E-08
0.197395,0.006791699,2625690,0,0,4.42314E-08
0.197402,0.00584584,2625700,0,0,3.89651E-08
0.197408,0.00714251,2625710,0,0,5.26201E-08
0.197414,0.010397508,2625710,0,0,6.57108E-08
0.197421,0.008377012,2625720,0,0,7.0618E-08
